"self","description","iconUrl","name","untranslatedName","id","statusCategory"
"https://onemain.atlassian.net/rest/api/3/status/10028","","https://onemain.atlassian.net/","Review","Review","10028","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10029","","https://onemain.atlassian.net/","Send to Dev","Send to Dev","10029","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10038","This status is managed internally by Jira Software","https://onemain.atlassian.net/","In Review","In Review","10038","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10103","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Business Review","Business Review","10103","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10030","","https://onemain.atlassian.net/","Needs Requirements","Needs Requirements","10030","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10104","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ready to Merge","Ready to Merge","10104","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10110","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Deployed","Deployed","10110","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/5","A resolution has been taken, and it's awaiting verification by the reporter. From here work items are either reopened, or are closed.","https://onemain.atlassian.net/images/icons/statuses/resolved.png","Resolved","Resolved","5","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10124","","https://onemain.atlassian.net/images/icons/statuses/generic.png","In Production","In Production","10124","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10039","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Canceled","Canceled","10039","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10114","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Intake","Intake","10114","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10115","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Discovery","Discovery","10115","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10116","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Design","Design","10116","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10117","Run automated regression testing against the develop branch on every commit","https://onemain.atlassian.net/images/icons/statuses/generic.png","Regression Test","Regression Test","10117","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10122","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Merge","Merge","10122","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10125","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ready for Estimation","Ready for Estimation","10125","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10126","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Draft","Draft","10126","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10131","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Pending Approval","Pending Approval","10131","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10146","","https://onemain.atlassian.net/","Backlog","Backlog","10146","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10147","","https://onemain.atlassian.net/","Requirements","Requirements","10147","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10148","","https://onemain.atlassian.net/","On Deck (ramping up)","On Deck (ramping up)","10148","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10260","(Migrated on 26 Mar 2023 22:23 UTC)","https://onemain.atlassian.net/images/icons/statuses/generic.png","In Process","In Process","10260","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10149","","https://onemain.atlassian.net/","Design (Active)","Design (Active)","10149","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10150","","https://onemain.atlassian.net/","Completed Design (For The Week)","Completed Design (For The Week)","10150","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10151","","https://onemain.atlassian.net/","Business Review","Business Review","10151","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10152","","https://onemain.atlassian.net/","Legal Review","Legal Review","10152","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10153","","https://onemain.atlassian.net/","Ready for Dev","Ready for Dev","10153","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10154","","https://onemain.atlassian.net/","Development","Development","10154","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10155","","https://onemain.atlassian.net/","Completed","Completed","10155","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10159","","https://onemain.atlassian.net/images/icons/status_generic.gif","Approved","Approved","10159","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10160","","https://onemain.atlassian.net/images/icons/status_generic.gif","Cancelled","Cancelled","10160","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10162","This status is managed internally by Jira Software","https://onemain.atlassian.net/","Research","Research","10162","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10161","","https://onemain.atlassian.net/images/icons/status_generic.gif","Rejected","Rejected","10161","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10163","This status is managed internally by Jira Software","https://onemain.atlassian.net/","Won't do","Won't do","10163","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10175","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ready for Test","Ready for Test","10175","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10176","","https://onemain.atlassian.net/","To Do","To Do","10176","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10177","This work item is being actively worked on at the moment by the assignee.","https://onemain.atlassian.net/","In Progress","In Progress","10177","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10178","","https://onemain.atlassian.net/","Done","Done","10178","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10179","","https://onemain.atlassian.net/","Ready for Work","Ready for Work","10179","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10180","","https://onemain.atlassian.net/","Blocked","Blocked","10180","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10181","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ready for Review","Ready for Review","10181","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10182","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Withdrawn","Withdrawn","10182","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
