"Id","Name","Description","IsSubtask","IconUrl","Self","GeneratedAt"
"10159","Architecture Topic","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10320?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10159","2025-09-23 18:09:08"
"10161","Feature","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10161","2025-09-23 18:09:08"
"10145","Github Access","Use this to request access to Github","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10310?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10145","2025-09-23 18:09:08"
"10133","Program","Parent of Initiatives","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10314?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10133","2025-09-23 18:09:08"
"10169","Non Code Task","(Migrated on 1 Mar 2023 00:26 UTC)","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10169","2025-09-23 18:09:08"
"10256","Milestone","(Migrated on 14 Jul 2025 19:58 UTC)","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10318?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10256","2025-09-23 18:09:08"
"10167","Deal","For Securitization for Project (Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10313?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10167","2025-09-23 18:09:08"
"10168","Request","(Migrated on 1 Mar 2023 00:26 UTC)","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10308?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10168","2025-09-23 18:09:08"
"10170","Transaction","(Migrated on 26 Mar 2023 13:19 UTC)","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10170","2025-09-23 18:09:08"
"10172","GS Task","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10311?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10172","2025-09-23 18:09:08"
