"ID","Key","Name","Is Custom","Is Orderable","Is Navigable","Is Searchable","Clause Names","Schema Type","Schema Items","Schema Custom Type","Schema Custom ID","Schema System"
"customfield_10739","customfield_10739","ICON Preparer (migrated)","True","True","True","True","cf[10739], ICON Preparer (migrated), ICON Preparer (migrated)[User Picker (single user)]","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10739",
"issuelinks","issuelinks","Linked Issues","False","True","True","True","issueLink, workItemLink","array","issuelinks",,,"issuelinks"
"assignee","assignee","Assignee","False","True","True","True","assignee","user",,,,"assignee"
"customfield_11940","customfield_11940","Atlassian project","True","True","True","True","cf[11940], Atlassian project","string",,"jira.polaris:atlassian-project","11940",
"customfield_10730","customfield_10730","Treasury Approver 1 (migrated)","True","True","True","True","cf[10730], Treasury Approver 1 (migrated)[User Picker (single user)], Treasury Approver 1 (migrated)","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10730",
"customfield_10725","customfield_10725","Reviewers: Sprint/Role/Generic","True","True","True","True","Reviewers: Sprint/Role/Generic, Reviewers: Sprint/Role/Generic[User Picker (multiple users)], cf[10725]","array","user","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker","10725",
"customfield_10726","customfield_10726","Approvers: Sprint/Role/Generic","True","True","True","True","Approvers: Sprint/Role/Generic[Paragraph], cf[10726], Approvers: Sprint/Role/Generic","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10726",
"customfield_10605","customfield_10605","Workfront Automation Required (migrated)","True","True","True","True","cf[10605], Workfront Automation Required (migrated), Workfront Automation Required (migrated)[Dropdown]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10605",
"customfield_11937","customfield_11937","Idea archived","True","True","True","True","cf[11937], Idea archived[Dropdown], Idea archived","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","11937",
"customfield_10727","customfield_10727","ACH/Wire Transaction # (migrated)","True","True","True","True","cf[10727], ACH/Wire Transaction # (migrated)[Short text], ACH/Wire Transaction # (migrated)","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10727",
"customfield_10728","customfield_10728","Risk Approver Required (migrated)","True","True","True","True","cf[10728], Risk Approver Required (migrated), Risk Approver Required (migrated)[Radio Buttons]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons","10728",
"customfield_11939","customfield_11939","Idea archived on","True","True","True","True","Idea archived on[Time stamp], Idea archived on, cf[11939]","datetime",,"com.atlassian.jira.plugin.system.customfieldtypes:datetime","11939",
"customfield_10729","customfield_10729","Notes (migrated)","True","True","True","True","Notes (migrated)[Paragraph], Notes (migrated), cf[10729]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10729",
"customfield_11938","customfield_11938","Idea archived by","True","True","True","True","Idea archived by, Idea archived by[People], cf[11938]","array","user","com.atlassian.jira.plugin.system.customfieldtypes:people","11938",
"subtasks","subtasks","Sub-tasks","False","False","True","False","subtasks","array","issuelinks",,,"subtasks"
"customfield_11801","customfield_11801","Confidence","True","True","True","True","cf[11801], Confidence, Confidence[Slider]","number",,"jira.polaris:slider","11801",
"customfield_11800","customfield_11800","Idea short description","True","True","True","True","Idea short description, cf[11800], Idea short description[Short text]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","11800",
"customfield_11803","customfield_11803","Product Lane","True","True","True","True","Product Lane[Checkboxes], cf[11803], Product Lane","array","option","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes","11803",
