"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ESDL-74","https://onemain.atlassian.net/browse/ESDL-74","ESDL1-168","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-168","Story","IaaC and automation for sFTP credentials","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-407","https://onemain.atlassian.net/browse/ESDL-407","ESDL1-169","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-169","Story","MVP1 - Enhancement - Add columns to ds_prod.caappt00_intraday and 2 prod fixes","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-410","https://onemain.atlassian.net/browse/ESDL-410","ESDL1-170","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-170","Story","MVP1 - Auto update - dynamodb enddate param for Generic Jobs","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-82","https://onemain.atlassian.net/browse/ESDL-82","ESDL1-171","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-171","Story","IaaC for Lambda","ESDL-61","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-1072","https://onemain.atlassian.net/browse/ESDL-1072","ESDL1-173","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-173","Task","DevOPs:Document Trim Process","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-1074","https://onemain.atlassian.net/browse/ESDL-1074","ESDL1-196","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-196","Task","DevOps:Update IAM Policy for SF DR to remove security vulnerabilities ","ESDL-471","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-1100","https://onemain.atlassian.net/browse/ESDL-1100","ESDL1-197","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-197","Task","DevOPs:Document MOnitoring Dashboard Devops Process","ESDL-471","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-188","https://onemain.atlassian.net/browse/ESDL-188","ESDL1-217","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-217","Task","Software installation accroding to the provided list","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-187","https://onemain.atlassian.net/browse/ESDL-187","ESDL1-219","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-219","Task","To provide Prasad with the list of software and packages required for developers","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-304","https://onemain.atlassian.net/browse/ESDL-304","ESDL1-220","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-220","Story","Run simple data quality checks (prepared - SF data checks)","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-200","https://onemain.atlassian.net/browse/ESDL-200","ESDL1-221","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-221","Task","[DevOps] To update target state documentation - Naming convention | DNS","ESDL-180","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-198","https://onemain.atlassian.net/browse/ESDL-198","ESDL1-222","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-222","Task","[QDA] Writing test scenarios","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-192","https://onemain.atlassian.net/browse/ESDL-192","ESDL1-223","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-223","Task","[DevOps] To refactor terraform - Prototyping | CC","ESDL-162","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-191","https://onemain.atlassian.net/browse/ESDL-191","ESDL1-224","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-224","Task","[DevOps] To refactor terraform - Analysis | CC","ESDL-162","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-190","https://onemain.atlassian.net/browse/ESDL-190","ESDL1-225","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-225","Task","To refactor Sathya's code according to the recent changes (with corresponding unit test)","ESDL-93","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-734","https://onemain.atlassian.net/browse/ESDL-734","ESDL1-226","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-226","Task","Platform Mgmt - New Class Appserver Pipeline - DevOps - 6/15","ESDL-471","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-444","https://onemain.atlassian.net/browse/ESDL-444","ESDL1-228","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-228","Story","Data Ingestion - cqs_replace - 2/16","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-443","https://onemain.atlassian.net/browse/ESDL-443","ESDL1-229","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-229","Story","Data Ingestion - Chicago 2/9 - Part 2","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-441","https://onemain.atlassian.net/browse/ESDL-441","ESDL1-230","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-230","Story","Prod fix : cqs_customer_address fix newline breaking the record","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-438","https://onemain.atlassian.net/browse/ESDL-438","ESDL1-231","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-231","Task","ESDL - Data Ingestion - DevOps - 2/9","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-433","https://onemain.atlassian.net/browse/ESDL-433","ESDL1-232","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-232","Story","ESDL - Data Ingestion - Generic Chicago - land_replace_dly - 2/16","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-447","https://onemain.atlassian.net/browse/ESDL-447","ESDL1-233","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-233","Story","Data Ingestion - Chicago Replace Daily - 2/16","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-428","https://onemain.atlassian.net/browse/ESDL-428","ESDL1-234","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-234","Story","Data Ingestion - Generic Digital - 2/9","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-429","https://onemain.atlassian.net/browse/ESDL-429","ESDL1-237","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-237","Story","Data Ingestion - Chicago 2/9","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
