Environment,Name,SourceID (OneMain),TargetID (OneMainFinancial),MatchStatus
Source,Deployment State,customfield_10753,,No Match
Source,Resolution,customfield_10754,resolution,Different ID
Source,Goal,customfield_11847,,No Match
Source,Workfront ID,customfield_10757,,No Match
Source,Reporting Source System,customfield_10758,customfield_10097,Different ID
Source,Source System ID,customfield_10759,customfield_10098,Different ID
Source,Integration Target Date,customfield_10190,,No Match
Source,QA Target Date,customfield_10191,,No Match
Source,Testing Priority,customfield_10192,,No Match
Source,CI/CD,customfield_10193,,No Match
Source,Design Review Date,customfield_10194,,No Match
Source,Change type (migrated 3),customfield_11162,,No Match
Source,Reviewers: Design Review,customfield_10195,,No Match
Source,Code Review Date,customfield_10196,,No Match
Source,Security Code Review,customfield_10197,,No Match
Source,Approvers: Unit,customfield_10198,,No Match
Source,Approvers: Int,customfield_10199,,No Match
Source,Approvals,customfield_12135,customfield_10289,Different ID
Source,Risk and Impact Analysis (migrated) (migrated),customfield_11049,,No Match
Source,Deployed to Training,customfield_10180,,No Match
Source,Deployed to Training Status,customfield_10181,,No Match
Source,Planned Deployment,customfield_10182,,No Match
Source,Post Implementation Validation,customfield_10183,,No Match
Source,Post Implementation Testers,customfield_10184,,No Match
Source,Rollout Switch,customfield_10185,,No Match
Source,Validation Priority,customfield_10186,,No Match
Source,Date added to Deployment,customfield_10187,,No Match
Source,Dependency,customfield_10188,,No Match
Source,Testing Communication,customfield_10189,,No Match
Source,Labels,labels,labels,Jira Native
Source,Components,components,components,Jira Native
Source,Approvers: Secure Code,customfield_10290,,No Match
Source,Deployment Key,customfield_10291,,No Match
Source,Deployed to Regression Status,customfield_10170,,No Match
Source,Deployment Summary,customfield_10292,,No Match
Source,Received Regression Callback,customfield_10171,,No Match
Source,Begin Date (migrated) (migrated) (migrated),customfield_11382,,No Match
Source,Satisfaction,customfield_10293,,No Match
Source,Deployed to UAT,customfield_10172,,No Match
Source,Deployed to UAT Status,customfield_10173,,No Match
Source,Satisfaction date,customfield_10294,,No Match
Source,Request language,customfield_10295,,No Match
Source,Deployed to PROD,customfield_10174,,No Match
Source,Deployed to PROD Status,customfield_10175,,No Match
Source,Affected services,customfield_10296,,No Match
Source,Withdraw Alert!!,customfield_10297,,No Match
Source,Received Production Callback,customfield_10176,,No Match
Source,Epic Approval,customfield_10298,,No Match
Source,Deployed to Post Release,customfield_10177,,No Match
Source,Health Status (migrated 2),customfield_11267,,No Match
Source,Deployed to Post Release Status,customfield_10178,,No Match
Source,Production Deployment Approvals,customfield_10299,,No Match
Source,Received Post Release/Training Callback,customfield_10179,,No Match
Source,Risk Approver Required (migrated) (migrated),customfield_11139,,No Match
Source,Testers: QA,customfield_10160,,No Match
Source,Testers: UAT,customfield_10161,,No Match
Source,External issue ID,customfield_10283,customfield_10250,Different ID
Source,Artifact,customfield_10162,,No Match
Source,Phase Activity,customfield_10284,,No Match
Source,Platform,customfield_10163,,No Match
Source,Deployed to DEV,customfield_10164,,No Match
Source,Reporter,reporter,reporter,Jira Native
Source,Deployed to DEV Status,customfield_10165,,No Match
Source,Process Date,customfield_10287,,No Match
Source,Implementation Plan (migrated) (migrated),customfield_11013,,No Match
Source,Deployed to INT,customfield_10167,,No Match
Source,Focus Areas,customfield_12102,customfield_10256,Different ID
Source,Score,customfield_10288,,No Match
Source,Additional Pricing Required (migrated 2),customfield_11015,,No Match
Source,Business Case,customfield_10289,,No Match
Source,Deployed to INT Status,customfield_10168,,No Match
Source,Deployed to Regression,customfield_10169,,No Match
Source,Testers: Int,customfield_10159,,No Match
Source,Progress,progress,progress,Jira Native
Source,Project Analyst,customfield_10270,,No Match
Source,Package No,customfield_10150,,No Match
Source,Consists of Core Integrations,customfield_10392,,No Match
Source,Project Manager,customfield_10271,,No Match
Source,Time Frame,customfield_10272,,No Match
Source,Run vs Build,customfield_10393,,No Match
Source,Emergency Request,customfield_10151,,No Match
Source,Acceptance Criteria,customfield_10030,customfield_10091,Different ID
Source,Project,project,project,Jira Native
Source,CICD Version,customfield_10152,,No Match
Source,Test Plan,customfield_10394,customfield_10093,Different ID
Source,Target start,customfield_10031,customfield_10022,Different ID
Source,Initiative Approval Date,customfield_10273,,No Match
Source,Initiative Approver,customfield_10274,,No Match
Source,Target end,customfield_10032,customfield_10023,Different ID
Source,Bitbucket Repo Slug,customfield_10153,,No Match
Source,Test Results,customfield_10395,customfield_10094,Different ID
Source,Global Rank,customfield_10154,,No Match
Source,Expected Behavior,customfield_10396,customfield_10100,Different ID
Source,Planned Start Date,customfield_10155,,No Match
Source,Planned End Date,customfield_10156,,No Match
Source,Request Approver,customfield_10278,,No Match
Source,Reviewers: Code Review,customfield_10157,,No Match
Source,Testers: Unit,customfield_10158,,No Match
Source,How and Who,customfield_10148,,No Match
Source,Steps to Reproduce,customfield_10027,customfield_10101,Different ID
Source,IT Sponsor,customfield_10269,,No Match
Source,Actual Result,customfield_10028,,No Match
Source,Expected Result,customfield_10029,,No Match
Source,Resolved,resolutiondate,resolutiondate,Jira Native
Source,Watchers,watches,watches,Jira Native
Source,Testing Oversight,customfield_10380,,No Match
